epoch,zaman_sn,train_box_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50_95,f1,lr
0,45.0,0.0,0.0,0.0,2.82706,4.21054,1.57089,0.08659,0.31717,0.05755,0.01293,0.13604,0.00032917
1,21.1,0.0,0.0,0.0,3.01555,3.84264,1.62891,0.08489,0.23161,0.04608,0.01001,0.124242,0.00066243
2,31.8,0.0,0.0,0.0,2.77768,2.95929,1.55667,0.08216,0.27976,0.05288,0.01249,0.127017,0.0009954
3,42.3,0.0,0.0,0.0,2.85776,3.3429,1.56,0.10155,0.34383,0.07576,0.0173,0.156792,0.00099902
4,50.0,0.0,0.0,0.0,2.80522,4.07935,1.58177,0.1144,0.27283,0.07346,0.0169,0.161205,0.00099826
5,35.1,0.0,0.0,0.0,2.75508,2.38656,1.49191,0.14085,0.29918,0.10313,0.02367,0.19153,0.00099729
6,15.6,0.0,0.0,0.0,2.84448,3.4354,1.59254,0.34359,0.24697,0.07282,0.01572,0.287376,0.0009961
7,18.3,0.0,0.0,0.0,2.84108,2.31534,1.58696,0.14886,0.27168,0.09028,0.02233,0.192335,0.00099469
8,16.0,0.0,0.0,0.0,2.84249,2.26043,1.5749,0.29695,0.25831,0.13395,0.03183,0.276286,0.00099307
9,17.9,0.0,0.0,0.0,2.73334,2.31848,1.49799,0.21299,0.32001,0.1404,0.03417,0.255756,0.00099123
10,16.2,0.0,0.0,0.0,2.75721,2.26834,1.51808,0.15886,0.3347,0.10753,0.0262,0.215457,0.00098918
11,19.1,0.0,0.0,0.0,2.69327,2.59358,1.47872,0.16388,0.27349,0.11003,0.02694,0.20495,0.00098692
12,18.2,0.0,0.0,0.0,2.65912,2.34553,1.47323,0.1892,0.28964,0.12906,0.03193,0.228886,0.00098445
13,18.9,0.0,0.0,0.0,2.68754,2.3013,1.48191,0.15721,0.30319,0.11417,0.02864,0.207057,0.00098177
14,16.7,0.0,0.0,0.0,2.71916,2.27514,1.50279,0.17431,0.36196,0.14244,0.03518,0.235304,0.00097887
15,18.2,0.0,0.0,0.0,2.72282,2.21275,1.49227,0.18764,0.30452,0.12967,0.03294,0.232201,0.00097577
