epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3893,2.9216,3.04055,1.74869,0.08659,0.31717,0.05755,0.01293,2.82706,4.21054,1.57089,0.000329167,0.000329167,0.0674125
2,55.5062,2.67259,2.5932,1.5452,0.08489,0.23161,0.04608,0.01001,3.01555,3.84264,1.62891,0.000662428,0.000662428,0.0344124
3,87.3034,2.68364,2.61981,1.5308,0.08216,0.27976,0.05288,0.01249,2.77768,2.95929,1.55667,0.000995401,0.000995401,0.00141207
4,129.425,2.63426,2.51655,1.52174,0.10155,0.34383,0.07576,0.0173,2.85776,3.3429,1.56,0.000999023,0.000999023,0.000999023
5,178.237,2.61116,2.49768,1.49358,0.1144,0.27283,0.07346,0.0169,2.80522,4.07935,1.58177,0.000998264,0.000998264,0.000998264
6,214.925,2.60873,2.50009,1.50161,0.14085,0.29918,0.10313,0.02367,2.75508,2.38656,1.49191,0.000997288,0.000997288,0.000997288
7,230.779,2.61579,2.47214,1.47459,0.34359,0.24697,0.07282,0.01572,2.84448,3.4354,1.59254,0.000996097,0.000996097,0.000996097
8,249.087,2.56988,2.45068,1.48673,0.14886,0.27168,0.09028,0.02233,2.84108,2.31534,1.58696,0.00099469,0.00099469,0.00099469
9,264.772,2.57925,2.45394,1.46301,0.29695,0.25831,0.13395,0.03183,2.84249,2.26043,1.5749,0.000993068,0.000993068,0.000993068
10,282.599,2.55378,2.37604,1.46326,0.21299,0.32001,0.1404,0.03417,2.73334,2.31848,1.49799,0.000991232,0.000991232,0.000991232
11,299.125,2.56731,2.45673,1.44498,0.15886,0.3347,0.10753,0.0262,2.75721,2.26834,1.51808,0.000989183,0.000989183,0.000989183
12,318.235,2.58318,2.37639,1.46155,0.16388,0.27349,0.11003,0.02694,2.69327,2.59358,1.47872,0.000986922,0.000986922,0.000986922
13,336.327,2.55343,2.37035,1.4513,0.1892,0.28964,0.12906,0.03193,2.65912,2.34553,1.47323,0.000984449,0.000984449,0.000984449
14,355.342,2.53225,2.38035,1.45274,0.15721,0.30319,0.11417,0.02864,2.68754,2.3013,1.48191,0.000981765,0.000981765,0.000981765
15,371.773,2.56642,2.33597,1.44,0.17431,0.36196,0.14244,0.03518,2.71916,2.27514,1.50279,0.000978873,0.000978873,0.000978873
16,390.125,2.53055,2.34208,1.44499,0.18764,0.30452,0.12967,0.03294,2.72282,2.21275,1.49227,0.000975773,0.000975773,0.000975773
17,406.825,2.54287,2.34183,1.44562,0.18484,0.29304,0.12538,0.03017,2.73356,2.65639,1.49028,0.000972466,0.000972466,0.000972466
18,424.565,2.54288,2.33111,1.44277,0.14719,0.24559,0.10201,0.02374,2.76411,2.82476,1.48552,0.000968955,0.000968955,0.000968955
19,440.961,2.55064,2.32455,1.46881,0.20332,0.32205,0.15862,0.03912,2.70305,2.26289,1.4903,0.000965239,0.000965239,0.000965239
20,460.263,2.52673,2.31985,1.44402,0.2246,0.31966,0.14016,0.03416,2.71418,2.32199,1.49718,0.000961322,0.000961322,0.000961322
21,477.416,2.53228,2.30769,1.43392,0.21568,0.32547,0.15716,0.03922,2.67158,2.44055,1.46331,0.000957205,0.000957205,0.000957205
22,496.196,2.52685,2.2694,1.42009,0.11769,0.24333,0.07952,0.02054,2.67937,2.4343,1.47714,0.000952889,0.000952889,0.000952889
23,513.624,2.52675,2.3042,1.4242,0.19511,0.30863,0.13986,0.03476,2.70141,2.23605,1.47302,0.000948377,0.000948377,0.000948377
24,532.121,2.52852,2.28591,1.44064,0.18172,0.25921,0.12279,0.03107,2.72456,2.23852,1.5125,0.000943671,0.000943671,0.000943671
25,550.631,2.51069,2.29871,1.43281,0.20649,0.33027,0.1629,0.04163,2.63593,2.27255,1.44778,0.000938772,0.000938772,0.000938772
26,569.113,2.52226,2.27064,1.42928,0.17833,0.32941,0.13144,0.03302,2.73297,2.1754,1.49526,0.000933683,0.000933683,0.000933683
27,587.996,2.51645,2.23243,1.42618,0.15467,0.27196,0.10991,0.02672,2.68067,2.63602,1.46588,0.000928405,0.000928405,0.000928405
28,605.339,2.50437,2.2627,1.43098,0.188,0.29457,0.13647,0.03272,2.70386,2.4024,1.48655,0.000922942,0.000922942,0.000922942
29,623.521,2.51918,2.26634,1.41721,0.1908,0.30397,0.12405,0.03107,2.67284,2.53761,1.45295,0.000917296,0.000917296,0.000917296
30,640.508,2.51514,2.27067,1.41245,0.20452,0.31664,0.14881,0.03837,2.63435,2.28786,1.4315,0.000911469,0.000911469,0.000911469
31,658.973,2.49733,2.25834,1.41698,0.19519,0.26229,0.13484,0.03314,2.67088,2.37594,1.46327,0.000905463,0.000905463,0.000905463
32,675.91,2.51538,2.24532,1.40505,0.15754,0.28393,0.11869,0.02898,2.6938,2.29384,1.46137,0.000899282,0.000899282,0.000899282
33,694.181,2.48992,2.20654,1.40679,0.20921,0.30288,0.16796,0.04167,2.69476,2.12646,1.47969,0.000892928,0.000892928,0.000892928
34,712.293,2.52233,2.25424,1.42542,0.16908,0.34327,0.13988,0.03499,2.71972,2.19221,1.50066,0.000886404,0.000886404,0.000886404
35,731.211,2.5051,2.20133,1.40354,0.22367,0.31205,0.1544,0.03776,2.68172,2.20538,1.465,0.000879713,0.000879713,0.000879713
36,749.326,2.50405,2.22374,1.40544,0.20184,0.32662,0.14044,0.0357,2.69186,2.25261,1.47424,0.000872857,0.000872857,0.000872857
37,767.997,2.50218,2.23147,1.42465,0.20506,0.28091,0.14309,0.03523,2.69726,2.25945,1.45508,0.000865839,0.000865839,0.000865839
38,787.358,2.48757,2.21068,1.41929,0.21244,0.3166,0.16146,0.04056,2.67587,2.21737,1.46,0.000858664,0.000858664,0.000858664
39,805.268,2.48644,2.19186,1.39519,0.21262,0.32097,0.15741,0.03967,2.65291,2.1501,1.45165,0.000851333,0.000851333,0.000851333
40,824.396,2.47974,2.15602,1.40643,0.24236,0.3232,0.17205,0.04169,2.67711,2.30353,1.44763,0.000843851,0.000843851,0.000843851
41,841.914,2.48576,2.21255,1.4189,0.19066,0.24268,0.12882,0.03184,2.64643,2.56634,1.43851,0.00083622,0.00083622,0.00083622
42,860.486,2.49189,2.18901,1.3988,0.19278,0.38293,0.15796,0.03889,2.66311,2.17695,1.45978,0.000828443,0.000828443,0.000828443
43,877.431,2.48112,2.16147,1.40115,0.21751,0.3156,0.16841,0.04212,2.67781,2.21033,1.45578,0.000820525,0.000820525,0.000820525
44,896.504,2.48046,2.1623,1.39963,0.23789,0.34746,0.18432,0.04766,2.65948,2.21725,1.44851,0.000812468,0.000812468,0.000812468
45,914.386,2.47572,2.19983,1.40325,0.25404,0.32833,0.18594,0.04685,2.65987,2.10464,1.45246,0.000804277,0.000804277,0.000804277
46,933.387,2.47025,2.2151,1.41256,0.2442,0.30157,0.1698,0.0433,2.6324,2.18212,1.43485,0.000795954,0.000795954,0.000795954
47,950.713,2.46374,2.14419,1.3905,0.24949,0.324,0.18962,0.04799,2.67322,2.19587,1.44544,0.000787503,0.000787503,0.000787503
48,969.648,2.46548,2.18257,1.38103,0.23993,0.32381,0.18005,0.0459,2.66159,2.13006,1.45213,0.000778929,0.000778929,0.000778929
49,987.501,2.47017,2.14752,1.38793,0.24387,0.30657,0.17256,0.04225,2.67058,2.23568,1.45708,0.000770234,0.000770234,0.000770234
50,1006.63,2.46974,2.12901,1.40518,0.19995,0.29094,0.1448,0.03665,2.67278,2.32079,1.46519,0.000761423,0.000761423,0.000761423
51,1025.01,2.47241,2.15078,1.39916,0.237,0.29337,0.1696,0.04124,2.65414,2.32926,1.42976,0.0007525,0.0007525,0.0007525
52,1041.37,2.46642,2.14674,1.40336,0.2538,0.329,0.183,0.04598,2.65999,2.10144,1.45724,0.000743468,0.000743468,0.000743468
53,1059.95,2.45779,2.15386,1.40393,0.27731,0.29999,0.18689,0.04527,2.66336,2.10825,1.43151,0.000734332,0.000734332,0.000734332
54,1076.4,2.45345,2.12292,1.39009,0.23139,0.28989,0.17346,0.04216,2.66503,2.17357,1.44838,0.000725094,0.000725094,0.000725094
55,1095.57,2.45127,2.12047,1.39376,0.20995,0.3034,0.16485,0.03947,2.64031,2.14278,1.42986,0.000715761,0.000715761,0.000715761
56,1111.82,2.4725,2.12567,1.39597,0.22935,0.28485,0.15722,0.03869,2.65327,2.21511,1.4387,0.000706335,0.000706335,0.000706335
57,1131.26,2.45536,2.12275,1.38481,0.21577,0.32754,0.17067,0.04287,2.63415,2.11965,1.44144,0.00069682,0.00069682,0.00069682
58,1147.47,2.46169,2.10103,1.39267,0.27796,0.33549,0.20747,0.05161,2.62704,2.07628,1.43346,0.000687222,0.000687222,0.000687222
59,1166.41,2.44015,2.1061,1.40205,0.20793,0.30567,0.16173,0.0398,2.65838,2.17065,1.43995,0.000677543,0.000677543,0.000677543
60,1182.36,2.44847,2.11134,1.39081,0.19108,0.27199,0.15275,0.03798,2.6505,2.16222,1.43118,0.000667789,0.000667789,0.000667789
61,1200.85,2.44818,2.09685,1.39286,0.22595,0.25316,0.14403,0.03617,2.65604,2.37807,1.44219,0.000657963,0.000657963,0.000657963
62,1217.03,2.4449,2.10143,1.38916,0.2473,0.30159,0.1824,0.04606,2.64397,2.13762,1.43765,0.000648071,0.000648071,0.000648071
63,1235.66,2.45063,2.10977,1.39,0.23963,0.31905,0.17943,0.04473,2.62342,2.23317,1.41875,0.000638115,0.000638115,0.000638115
64,1251.85,2.43265,2.09855,1.38839,0.23893,0.32899,0.1858,0.04647,2.63795,2.10098,1.43524,0.000628101,0.000628101,0.000628101
65,1270.47,2.43949,2.06725,1.39288,0.27237,0.31175,0.20368,0.05125,2.64906,2.14429,1.44599,0.000618034,0.000618034,0.000618034
66,1286.91,2.43558,2.10379,1.39271,0.28606,0.3392,0.2209,0.05458,2.67946,2.06575,1.46081,0.000607916,0.000607916,0.000607916
67,1305.64,2.43526,2.07929,1.3874,0.2607,0.30852,0.18408,0.04611,2.64885,2.22759,1.44094,0.000597754,0.000597754,0.000597754
68,1321.98,2.44089,2.08381,1.39066,0.2961,0.311,0.21004,0.05458,2.64587,2.07479,1.4374,0.000587551,0.000587551,0.000587551
69,1341.21,2.43848,2.10545,1.37105,0.25596,0.30437,0.18129,0.04561,2.6425,2.19625,1.43297,0.000577311,0.000577311,0.000577311
70,1357.98,2.41982,2.07817,1.36941,0.25945,0.27572,0.16781,0.04126,2.62911,2.24598,1.42676,0.00056704,0.00056704,0.00056704
71,1376.44,2.42546,2.04425,1.37391,0.24564,0.31625,0.18515,0.04758,2.63606,2.07496,1.43648,0.000556742,0.000556742,0.000556742
72,1392.69,2.44245,2.05579,1.37359,0.25257,0.30747,0.17617,0.04419,2.64581,2.29637,1.43511,0.000546421,0.000546421,0.000546421
73,1411.15,2.43829,2.04348,1.37515,0.25586,0.29092,0.18133,0.04596,2.62995,2.12185,1.42574,0.000536081,0.000536081,0.000536081
74,1427.59,2.42072,2.03496,1.37581,0.23305,0.32771,0.1784,0.04342,2.6485,2.12215,1.43867,0.000525728,0.000525728,0.000525728
75,1446.47,2.43086,2.0478,1.36658,0.25123,0.3276,0.20619,0.0514,2.62478,2.08506,1.42378,0.000515366,0.000515366,0.000515366
76,1462.62,2.41809,2.04997,1.37193,0.2289,0.27805,0.16417,0.0402,2.62093,2.30045,1.4161,0.000505,0.000505,0.000505
77,1480.89,2.41535,2.0052,1.36019,0.26636,0.33144,0.19354,0.04862,2.67849,2.06669,1.46498,0.000494634,0.000494634,0.000494634
78,1497.29,2.42705,2.00652,1.38087,0.25225,0.31552,0.18344,0.04654,2.65204,2.15105,1.43476,0.000484272,0.000484272,0.000484272
79,1515.51,2.40252,2.00769,1.37748,0.27932,0.31177,0.19176,0.04837,2.66299,2.21086,1.44976,0.000473919,0.000473919,0.000473919
80,1532.07,2.41099,2.01816,1.3626,0.24758,0.3227,0.18777,0.04569,2.64198,2.13105,1.42836,0.000463579,0.000463579,0.000463579
81,1550.57,2.43683,2.05017,1.38826,0.26657,0.30757,0.17916,0.04442,2.64436,2.22224,1.4293,0.000453258,0.000453258,0.000453258
